population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,Greece,Both,20-24 years,Alcohol use disorders,Number,2005,29967.41775,47753.38318,16893.29274
All Population,Prevalence,Greece,Both,20-24 years,Alcohol use disorders,Percent,2005,0.039585696,0.062804718,0.022319453
All Population,Prevalence,Greece,Both,20-24 years,Alcohol use disorders,Rate,2005,3838.171335,6116.16483,2163.661631
All Population,Prevalence,Greece,Both,25-29 years,Alcohol use disorders,Number,2005,32833.83526,46250.49062,21984.05273
All Population,Prevalence,Greece,Both,25-29 years,Alcohol use disorders,Percent,2005,0.038806967,0.054406885,0.026050591
All Population,Prevalence,Greece,Both,25-29 years,Alcohol use disorders,Rate,2005,3805.392737,5360.363164,2547.919057
All Population,Prevalence,Greece,Both,30-34 years,Alcohol use disorders,Number,2005,27676.56001,41587.06323,16067.04004
All Population,Prevalence,Greece,Both,30-34 years,Alcohol use disorders,Percent,2005,0.032794951,0.049053965,0.019128421
All Population,Prevalence,Greece,Both,30-34 years,Alcohol use disorders,Rate,2005,3235.834174,4862.195315,1878.494915
All Population,Prevalence,Greece,Both,35-39 years,Alcohol use disorders,Number,2005,23358.37105,33901.02008,14677.10075
All Population,Prevalence,Greece,Both,35-39 years,Alcohol use disorders,Percent,2005,0.026807151,0.03892277,0.016838432
All Population,Prevalence,Greece,Both,35-39 years,Alcohol use disorders,Rate,2005,2656.925954,3856.112224,1669.464443
All Population,Prevalence,Greece,Both,40-44 years,Alcohol use disorders,Number,2005,17286.94211,25981.26037,10916.46227
All Population,Prevalence,Greece,Both,40-44 years,Alcohol use disorders,Percent,2005,0.021738801,0.03274957,0.013742714
All Population,Prevalence,Greece,Both,40-44 years,Alcohol use disorders,Rate,2005,2159.462648,3245.545739,1363.670473
All Population,Prevalence,Greece,Both,45-49 years,Alcohol use disorders,Number,2005,14582.41846,19985.45224,10279.14451
All Population,Prevalence,Greece,Both,45-49 years,Alcohol use disorders,Percent,2005,0.018857926,0.025856198,0.013315371
