location,sex,age,year,percent_of_prevalence,upper,lower
Romania,Female,20-24 years,2005,0.0193337019929965,0.0301115532191654,0.0114626939864234
Romania,Male,25-29 years,2005,0.0393097795825241,0.0551893450754025,0.0266597266155332
Romania,Female,25-29 years,2005,0.0273199208396687,0.0389955756180707,0.017816220511971
Romania,Male,30-34 years,2005,0.0450063788240971,0.0659039286901984,0.0294710566077495
Romania,Female,30-34 years,2005,0.0309565803283566,0.0449556116162178,0.019227430610804
Romania,Male,35-39 years,2005,0.0462191553189179,0.0616294413964755,0.0331383524264257
Romania,Female,35-39 years,2005,0.0315566353792871,0.043016990194089,0.0217287994885999
Romania,Male,40-44 years,2005,0.0456068993093661,0.0605728912037894,0.0313934550299083
Romania,Female,40-44 years,2005,0.0316019075961804,0.0438620893029042,0.0216055246794562
Republic of Moldova,Male,15-19 years,2005,0.0113688703639661,0.0163106602666882,0.007474880920341
Republic of Moldova,Female,15-19 years,2005,0.0056588061827082,0.0085856963870317,0.0034737250873872
Republic of Moldova,Male,20-24 years,2005,0.0254209402153393,0.0346749175855457,0.0170045816716164
Republic of Moldova,Female,20-24 years,2005,0.0143509984810638,0.0213868268584647,0.0092767958348322
Republic of Moldova,Male,25-29 years,2005,0.0316537383083813,0.0405600618326466,0.0235411435809116
Republic of Moldova,Female,25-29 years,2005,0.0181517706439037,0.0244119378361933,0.0129008728963383
Republic of Moldova,Male,30-34 years,2005,0.0363530436574969,0.0458933781811845,0.0283554528161166
Republic of Moldova,Female,30-34 years,2005,0.0204852805514756,0.0283117920669136,0.0141641396267427
Republic of Moldova,Male,35-39 years,2005,0.0427193968380605,0.0567590665757203,0.0321981107932291
Republic of Moldova,Female,35-39 years,2005,0.0237641626745525,0.0307378383626221,0.0177953503459385
Republic of Moldova,Male,40-44 years,2005,0.0573095887359222,0.0737493717924115,0.0446029959907479
Republic of Moldova,Female,40-44 years,2005,0.0264274638566349,0.0337884196970974,0.0196664503100053
Norway,Male,15-19 years,2005,0.0140919270171138,0.0193426853639175,0.0100148675328342
Norway,Female,15-19 years,2005,0.0064018256098175,0.0090069887753726,0.0043689689644033
Norway,Male,20-24 years,2005,0.0360673068991923,0.0486470957157778,0.0263983337892405
Norway,Female,20-24 years,2005,0.0154834357024299,0.0219576918601021,0.0107284095443036
Norway,Male,25-29 years,2005,0.0345589138033429,0.0447238025226646,0.0264223453897091
Norway,Female,25-29 years,2005,0.014253016646288,0.0188530730193692,0.0107367521370247
Norway,Male,30-34 years,2005,0.0300724401622787,0.0403229893560873,0.0210671051894524
Norway,Female,30-34 years,2005,0.0113101573564124,0.0156408488390949,0.0076344771253269
Norway,Male,35-39 years,2005,0.0302431092019601,0.0400665570213831,0.0221010545076142
Norway,Female,35-39 years,2005,0.0098949569450087,0.0130500267281382,0.0069594382129353
Norway,Male,40-44 years,2005,0.0324124188925963,0.0440649157321874,0.0234664572688555
Norway,Female,40-44 years,2005,0.0091958976204388,0.0127728130954977,0.0065868545829887
Denmark,Male,15-19 years,2005,0.0260680144284179,0.0392554761277579,0.0151589766784802
Denmark,Female,15-19 years,2005,0.0103012269537721,0.0162235864465545,0.0059380160650376
Denmark,Male,20-24 years,2005,0.0731657552782298,0.1088420158305426,0.0462402649562733
