Title,Year,% of Pop. Abstainers,NumericValue,Min,Max
France,2002,14.0 [13.2 - 14.9],14.036642,13.1741691,14.899115
United Kingdom of Great Britain and Northern Ireland,2006,27.9 [26.5 - 29.3],27.9268978,26.5271054,29.3266902
Israel,2016,39.9 [37.2 - 42.7],39.9299473,37.1544261,42.7054685
Albania,2005,49.7 [47.5 - 51.9],49.7138045,47.5440303,51.8835788
Romania,2006,17.3 [15.5 - 19.0],17.2584068,15.5383004,18.9785131
Türkiye,2018,84.6 [82.3 - 87.0],84.6114468,82.262777,86.9601167
Israel,2005,41.3 [38.5 - 44.1],41.3219918,38.5468578,44.0971258
Netherlands (Kingdom of the),2020,23.1 [21.7 - 24.5],23.1245053,21.7350062,24.5140045
Andorra,2014,13.3 [12.4 - 14.2],13.2993888,12.3876149,14.2111627
Iceland,2007,21.7 [20.6 - 22.9],21.7303412,20.5588284,22.901854
Türkiye,2000,90.8 [89.2 - 92.5],90.8316509,89.1559329,92.507369
Denmark,2001,28.2 [26.8 - 29.7],28.2275109,26.7847022,29.6703196
Georgia,2020,53.2 [49.7 - 56.8],53.2278896,49.6614346,56.7943447
Türkiye,2015,94.2 [92.9 - 95.6],94.2321957,92.9012319,95.5631595
Austria,2005,20.9 [19.8 - 22.0],20.9163386,19.833092,21.9995851
United Kingdom of Great Britain and Northern Ireland,2020,14.9 [14.1 - 15.7],14.9100251,14.0982448,15.7218054
Lithuania,2017,17.3 [16.0 - 18.5],17.2876411,16.0318777,18.5434045
Denmark,2020,28.4 [26.7 - 30.1],28.388375,26.7064895,30.0702604
Croatia,2011,38.9 [37.0 - 40.8],38.939709,37.0398444,40.8395737
